Title,Ranking,Genre,Actors,Runtime
Kaubôi bibappu: Cowboy Bebop,9.0,"Animation , Action , Adventure , Drama , Sci-Fi , Thriller","unihiro Mori, Ikurô Satô With: Kôichi Yamadera, Unshô Ishizuka, Megumi Hayashibara",24
Fargo,9.0,"Crime , Drama , Thriller","Billy Bob Thornton, Martin Freeman, Allison Tolman",53
Death Note: Desu nôto,9.0,"Animation , Crime , Drama , Fantasy , Horror , Mystery , Thriller","Mamoru Miyano, Brad Swaile, Vincent Tong",24
The Twilight Zone,9.0,"Fantasy , Horror , Mystery , Sci-Fi , Thriller","Rod Serling, Robert McCord, Jay Overholts",51
Friends,9.0,"Comedy , Romance","Jennifer Aniston, Courteney Cox, Lisa Kudrow",22
Hunter x Hunter,9.0,"Animation , Action , Adventure , Comedy , Fantasy","Mariya Ise, Megumi Han, Daisuke Namikawa",24
Monty Python's Flying Circus,9.0,"Comedy , Music","Graham Chapman, John Cleese, Terry Gilliam",30
Kardes Payi,8.9,"Comedy , Drama , Family","Ahmet Kural, Murat Cemcir, Seda Bakan",70
Twin Peaks,8.9,"Drama , Mystery , Thriller","Kyle MacLachlan, Michael Ontkean, Mädchen Amick",47
Better Call Saul,8.9,"Crime , Drama","Bob Odenkirk, Jonathan Banks, Rhea Seehorn",47
Seinfeld,8.9,Comedy,"Jerry Seinfeld, Julia Louis-Dreyfus, Michael Richards",22
Freaks and Geeks,8.9,"Comedy , Drama","Linda Cardellini, John Francis Daley, James Franco",44
Top Gear,8.9,"Comedy , Talk-Show","Richard Hammond, Jeremy Clarkson, James May",60
Daredevil,8.9,"Action , Crime , Drama","Charlie Cox, Vincent D'Onofrio, Deborah Ann Woll",60
Dragon Ball Z,8.9,"Animation , Action , Adventure , Fantasy , Sci-Fi , Thriller","Masako Nozawa, Sean Schemmel, Jôji Yanami",24
Wan pîsu: One Piece,8.9,"Animation , Action , Adventure , Comedy , Drama , Fantasy , Romance","Tony Beck, Laurent Vernin, Mayumi Tanaka",24
Only Fools and Horses....,8.9,Comedy,"David Jason, Nicholas Lyndhurst, Roger Lloyd Pack",95
Rome,8.9,"Action , Drama , History , Romance , War","Kevin McKidd, Ray Stevenson, Polly Walker",90
Oz,8.9,"Crime , Drama , Thriller","regory Dark With: Ernie Hudson, J.K. Simmons, Lee Tergesen",55
Shingeki no kyojin,8.9,"Animation , Action , Adventure , Drama , Fantasy , Horror","Marina Inoue, Yuki Kaji, Josh Grelle",24
The Simpsons,8.9,"Animation , Comedy","Dan Castellaneta, Nancy Cartwright, Julie Kavner",22
Dragon Ball Z: Doragon bôru zetto,8.9,"Animation , Action , Adventure , Comedy , Drama , Fantasy , Sci-Fi , Thriller","inoru Okazaki With: Jôji Yanami, Masako Nozawa, Mayumi Tanaka",24
Dexter,8.9,"Crime , Drama , Mystery , Thriller","Michael C. Hall, Jennifer Carpenter, David Zayas",55
Kôdo giasu: Hangyaku no rurûshu R2,8.9,"Animation , Action , Drama , Mystery , Sci-Fi , Thriller","Adam Bobrow, Johnny Yong Bosch, Yuri Lowenthal",24
House M.D.,8.9,"Drama , Mystery","Hugh Laurie, Omar Epps, Robert Sean Leonard",44
Blackadder Goes Forth,8.9,"Comedy , War","Rowan Atkinson, Tony Robinson, Stephen Fry",175
Gravity Falls,8.9,"Animation , Adventure , Comedy , Family , Mystery","Jason Ritter, Kristen Schaal, Alex Hirsch",23
Fawlty Towers,8.8,Comedy,"John Cleese, Prunella Scales, Andrew Sachs",30
Archer,8.8,"Animation , Action , Comedy","H. Jon Benjamin, Judy Greer, Amber Nash",22
Pod prikritie,8.8,"Action , Crime , Drama","Vladimir Penev, Zachary Baharov, Mihail Bilalov",60
Doctor Who,8.8,"Adventure , Drama , Family , Mystery , Sci-Fi","Peter Capaldi, Jenna Coleman, Matt Smith",45
The Daily Show,8.8,"Comedy , News , Talk-Show","Jon Stewart, Stephen Colbert, John Oliver",30
Steins;Gate,8.8,"Animation , Comedy , Drama , Romance , Sci-Fi , Thriller","iroshi Hamazaki, Takuya Satô With: Mamoru Miyano, Asami Imai, Kana Hanazawa",24
